# SLAM estimated trajectory — TUM format
# timestamp tx ty tz qx qy qz qw
1317388330.630156040 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1317388330.837309361 1.973937 0.175176 0.000000 -0.000275 0.006932 0.002627 0.999972
1317388331.044520855 3.906145 0.148093 -0.026770 -0.000275 0.006932 0.002627 0.999972
1317388331.251616001 5.634064 1.089628 -0.042814 0.001693 -0.001402 0.004501 0.999987
1317388331.458902836 7.616088 1.232560 -0.020396 0.002841 -0.027044 -0.000381 0.999630
1317388331.666266441 9.610807 1.200254 0.087435 0.003123 -0.036896 -0.000598 0.999314
1317388331.769911528 10.570263 1.473328 0.160081 0.003123 -0.036896 -0.000598 0.999314
1317388331.977524757 12.509664 1.898271 0.306136 0.002978 -0.045147 -0.001359 0.998975
1317388332.185634136 14.483066 1.831409 0.484495 0.003273 -0.051526 -0.001537 0.998665
1317388332.393490553 16.400738 2.256317 0.685652 0.003273 -0.051526 -0.001537 0.998665
1317388332.602788687 18.307941 2.058070 0.888076 0.005243 -0.059014 -0.002543 0.998240
1317388332.809502840 19.880724 2.744145 1.089424 0.007906 -0.070769 0.000962 0.997461
1317388333.017506838 21.778421 3.284127 1.368730 0.009249 -0.074902 -0.000022 0.997148
1317388333.225613832 23.694969 3.055270 1.654050 0.010564 -0.079112 -0.000776 0.996809
1317388333.433635473 25.656878 3.144400 1.969397 0.010564 -0.079112 -0.000776 0.996809
1317388333.641622305 27.612817 3.286777 2.292873 0.013636 -0.086929 -0.002308 0.996118
1317388333.849968433 29.565282 3.486062 2.649313 0.023283 -0.096158 -0.003543 0.995087
1317388334.057993650 31.510523 3.685237 3.038613 0.027644 -0.098030 -0.004740 0.994788
1317388334.268435717 33.455123 3.889018 3.437693 0.031068 -0.100074 -0.006430 0.994474
1317388334.473760605 35.402191 4.032739 3.843632 0.031068 -0.100074 -0.006430 0.994474
1317388334.681687355 37.345131 4.216009 4.256256 0.035907 -0.104531 -0.010646 0.993816
1317388334.889583588 38.966023 4.953353 -6.406205 -0.649549 -0.067859 0.088051 0.752149
1317388334.994203329 40.250695 4.269253 4.964444 0.036190 -0.112969 -0.013152 0.992852
1317388335.097850561 41.209349 4.340813 5.240230 0.036190 -0.112969 -0.013152 0.992852
1317388335.202767372 42.169879 4.400339 5.512597 0.036190 -0.112969 -0.013152 0.992852
1317388335.305163860 43.112701 4.523268 5.822997 0.033734 -0.117121 -0.014412 0.992440
1317388335.409043312 44.062422 4.586486 6.130090 0.033734 -0.117121 -0.014412 0.992440
1317388335.512877941 45.011019 4.654189 6.439540 0.033734 -0.117121 -0.014412 0.992440
1317388335.616772175 45.963581 4.652756 6.743971 0.033218 -0.121689 -0.015403 0.991893
1317388335.720645666 46.910390 4.723886 7.058069 0.033218 -0.121689 -0.015403 0.991893
1317388335.824552536 47.861989 4.787178 7.359124 0.033218 -0.121689 -0.015403 0.991893
1317388335.928398371 48.808090 4.844483 7.678152 0.032254 -0.126021 -0.015914 0.991375
1317388336.032285690 49.751581 4.884705 8.007490 0.032254 -0.126021 -0.015914 0.991375
1317388336.447750568 50.693660 4.791157 8.329427 0.025062 -0.142091 -0.016483 0.989399
1317388336.551686049 51.613209 4.825802 8.720880 0.025062 -0.142091 -0.016483 0.989399
1317388336.655504227 52.536497 4.879200 9.101337 0.024283 -0.145222 -0.016406 0.988965
1317388336.759534597 53.473763 5.018159 9.421286 0.024283 -0.145222 -0.016406 0.988965
1317388337.175131321 55.345414 5.011800 10.121411 0.023849 -0.148490 -0.016729 0.988485
1317388337.279039383 56.262495 5.110434 10.507754 0.023849 -0.148490 -0.016729 0.988485
1317388337.382906437 57.208213 5.165659 10.828249 0.023849 -0.148490 -0.016729 0.988485
1317388337.694561958 59.049308 5.284902 11.600239 0.023492 -0.151800 -0.014278 0.988029
1317388337.798259020 59.971033 5.494341 11.926842 0.021421 -0.154114 -0.013853 0.987724
1317388337.902149439 60.894171 5.619835 12.290510 0.021421 -0.154114 -0.013853 0.987724
1317388338.110287428 62.099443 4.713652 12.911742 0.021027 -0.162534 -0.012915 0.986394
1317388338.213428497 63.006373 4.833487 13.315819 0.021027 -0.162534 -0.012915 0.986394
1317388338.524882078 64.192969 4.884710 14.103664 0.015927 -0.183302 -0.016113 0.982796
1317388338.836512804 65.967475 5.157139 14.977270 0.023303 -0.195537 -0.017010 0.980272
1317388338.940379620 66.848622 5.120646 15.448842 0.023303 -0.195537 -0.017010 0.980272
1317388339.044262886 67.736540 5.182098 15.905024 0.023303 -0.195537 -0.017010 0.980272
1317388339.148121357 68.619560 5.156870 16.373737 0.021363 -0.198027 -0.017550 0.979807
1317388339.252145052 69.503717 5.201950 16.838781 0.021363 -0.198027 -0.017550 0.979807
1317388339.356308222 70.381867 5.336345 17.297975 0.021768 -0.200616 -0.017871 0.979265
1317388339.564434528 72.157025 5.442518 18.211923 0.021768 -0.200616 -0.017871 0.979265
1317388339.667508602 73.042798 5.501358 18.672415 0.021494 -0.204029 -0.017749 0.978568
1317388339.771280527 73.923482 5.543555 19.144352 0.021494 -0.204029 -0.017749 0.978568
1317388339.875183344 74.799602 5.600050 19.623185 0.021501 -0.207905 -0.017906 0.977749
1317388339.978942871 75.667029 5.781347 20.086684 0.021501 -0.207905 -0.017906 0.977749
1317388340.082718849 76.530049 5.867679 20.584544 0.021501 -0.207905 -0.017906 0.977749
1317388340.291260481 78.281353 6.001201 21.538247 0.022242 -0.216277 -0.017794 0.975917
1317388340.395406008 79.152565 6.087698 22.021590 0.022355 -0.220702 -0.017643 0.974925
1317388340.497533560 80.011796 6.147187 22.529893 0.022355 -0.220702 -0.017643 0.974925
1317388340.601334572 80.875964 6.217684 23.028278 0.022355 -0.220702 -0.017643 0.974925
1317388340.705034256 81.737580 6.300793 23.529078 0.022168 -0.225212 -0.017496 0.973901
1317388340.808765411 82.587739 6.411666 24.043912 0.022168 -0.225212 -0.017496 0.973901
1317388340.912581205 83.448042 6.460731 24.551426 0.022168 -0.225212 -0.017496 0.973901
1317388341.016261339 84.307483 6.500229 25.061238 0.021952 -0.229064 -0.018194 0.972994
1317388341.120029926 85.151637 6.662867 25.572233 0.021952 -0.229064 -0.018194 0.972994
1317388341.223800659 86.005871 6.755704 26.083816 0.021952 -0.229064 -0.018194 0.972994
1317388341.327512980 86.858127 6.890526 26.589294 0.022754 -0.232397 -0.018373 0.972181
1317388341.535169840 88.558811 7.113046 27.617694 0.023567 -0.235694 -0.018305 0.971369
1317388341.638885736 89.411905 7.177277 28.135607 0.023567 -0.235694 -0.018305 0.971369
1317388341.742637157 90.279964 7.187860 28.631962 0.023567 -0.235694 -0.018305 0.971369
1317388341.846436262 91.128560 7.276382 29.153649 0.023300 -0.238959 -0.018303 0.970578
1317388341.950179100 91.964195 7.470159 29.667624 0.023300 -0.238959 -0.018303 0.970578
1317388342.054048777 92.821926 7.533477 30.177840 0.023300 -0.238959 -0.018303 0.970578
1317388342.261533499 94.502049 7.842487 31.205578 0.023024 -0.244329 -0.017674 0.969258
1317388342.469362736 96.158738 8.081813 32.299567 0.023958 -0.252605 -0.013469 0.967179
1317388342.572673082 96.979455 8.131721 32.868809 0.023958 -0.252605 -0.013469 0.967179
1317388342.676258802 97.794798 8.238875 33.437919 0.023644 -0.257206 -0.011471 0.965999
1317388342.779999733 98.631256 8.221258 33.985709 0.023644 -0.257206 -0.011471 0.965999
1317388342.883762360 99.452845 8.299286 34.550654 0.023644 -0.257206 -0.011471 0.965999
1317388342.987387896 100.270146 8.465445 35.102622 0.022923 -0.262483 -0.012013 0.964589
1317388343.091137171 101.074929 8.628824 35.673370 0.022923 -0.262483 -0.012013 0.964589
1317388343.298511028 102.723747 8.804982 36.789820 0.024385 -0.273865 -0.011655 0.961388
1317388343.402135372 103.536455 8.886505 37.366983 0.024385 -0.273865 -0.011655 0.961388
1317388343.505889416 104.326358 8.932143 37.978672 0.023743 -0.279688 -0.011303 0.959731
1317388343.609512806 105.117622 9.020520 38.583852 0.023743 -0.279688 -0.011303 0.959731
1317388343.713264227 105.891376 9.055411 39.216437 0.023743 -0.279688 -0.011303 0.959731
1317388343.817134142 106.685021 9.121068 39.821369 0.024257 -0.285277 -0.011831 0.958065
1317388343.920620203 107.480301 9.184643 40.424318 0.024257 -0.285277 -0.011831 0.958065
1317388344.024410009 108.275258 9.300876 41.019874 0.024257 -0.285277 -0.011831 0.958065
1317388344.128126383 109.051999 9.392509 41.643184 0.023926 -0.290247 -0.012688 0.956569
1317388344.231913328 109.838375 9.469953 42.256221 0.023926 -0.290247 -0.012688 0.956569
1317388344.335628033 110.615565 9.515345 42.883944 0.023355 -0.294444 -0.013066 0.955294
1317388344.439303398 111.384627 9.581268 43.519708 0.023355 -0.294444 -0.013066 0.955294
1317388344.646670818 112.959327 9.575725 44.751298 0.024090 -0.297987 -0.012089 0.954189
1317388344.854030371 114.452745 9.589752 46.072744 0.024090 -0.297987 -0.012089 0.954189
1317388344.957662582 115.196987 9.531794 46.738273 0.022955 -0.300412 -0.011676 0.953462
1317388345.064785957 115.930666 9.458908 47.413965 0.022955 -0.300412 -0.011676 0.953462
1317388345.165030956 116.705105 9.520910 48.043643 0.022955 -0.300412 -0.011676 0.953462
1317388345.268793344 117.476331 9.614476 48.673321 0.022955 -0.300412 -0.011676 0.953462
1317388345.372520685 118.245415 9.649264 49.311599 0.022955 -0.300412 -0.011676 0.953462
1317388345.476402760 119.003177 9.673963 49.963776 0.021925 -0.301733 -0.011253 0.953074
1317388345.580144167 119.771258 9.717800 50.602643 0.021925 -0.301733 -0.011253 0.953074
1317388345.683891773 120.560994 9.683675 51.215143 0.021925 -0.301733 -0.011253 0.953074
1317388345.787636995 121.302810 9.751654 51.882414 0.020809 -0.302979 -0.010353 0.952714
1317388345.995249987 122.818377 9.891858 53.159732 0.020105 -0.303988 -0.009512 0.952416
1317388346.202907562 124.341783 9.662865 54.416357 0.020105 -0.303988 -0.009512 0.952416
1317388346.410504103 125.911499 9.714188 55.654242 0.021164 -0.304068 -0.009576 0.952367
1317388346.618304253 127.279820 9.082687 56.904966 0.022625 -0.300177 -0.010749 0.953555
1317388346.825904369 128.771547 9.388004 58.158871 0.022780 -0.296975 -0.011053 0.954550
1317388347.033662558 130.027009 10.331541 59.108955 0.022780 -0.296975 -0.011053 0.954550
1317388347.241393566 131.267102 10.987285 60.171712 0.022797 -0.287614 -0.011007 0.957412
1317388347.449146271 132.855928 10.840754 61.348264 0.026268 -0.271106 -0.011291 0.962125
1317388347.553131104 133.645940 10.775875 61.958006 0.026268 -0.271106 -0.011291 0.962125
1317388347.760647297 135.270129 10.818165 63.124123 0.025731 -0.257569 -0.012534 0.965836
1317388347.968781471 136.934023 10.880888 64.228346 0.025730 -0.244321 -0.011978 0.969279
1317388348.175761700 138.570335 10.626822 65.319603 0.025947 -0.238045 -0.010884 0.970847
1317388348.383452177 140.268516 10.518601 66.368462 0.025947 -0.238045 -0.010884 0.970847
1317388348.590542078 141.949580 10.550900 67.448188 0.023451 -0.225857 -0.010931 0.973817
1317388348.798039436 143.671963 10.722810 68.445663 0.024250 -0.213720 -0.011661 0.976524
1317388349.005505800 145.410535 10.765868 69.432258 0.023808 -0.207986 -0.011596 0.977773
1317388349.109300137 146.284913 10.791652 69.916827 0.023808 -0.207986 -0.011596 0.977773
1317388349.316659212 148.056535 10.873322 70.841037 0.023661 -0.202817 -0.011448 0.978864
1317388349.524184227 149.793920 11.016570 71.819102 0.023661 -0.202817 -0.011448 0.978864
1317388349.627911806 150.674335 11.059294 72.291389 0.022641 -0.197921 -0.011745 0.979886
1317388349.835542917 152.452227 11.210758 73.193217 0.022320 -0.192893 -0.011898 0.980894
1317388350.043014050 154.222688 11.304646 74.118476 0.022320 -0.192893 -0.011898 0.980894
1317388350.146899939 155.112394 11.342974 74.573409 0.020749 -0.186495 -0.012749 0.982154
1317388350.354653120 156.893978 11.478313 75.471491 0.020749 -0.186495 -0.012749 0.982154
1317388350.562351942 158.690414 11.518007 76.340867 0.021919 -0.171777 -0.012643 0.984811
1317388350.769950390 160.520092 11.560053 77.146953 0.021503 -0.156284 -0.012007 0.987405
1317388350.977697134 161.572813 12.587195 77.598936 0.019107 -0.140511 -0.011267 0.989831
1317388351.185155630 163.448156 12.701010 78.283429 0.018272 -0.133768 -0.010561 0.990788
1317388351.394990444 165.333356 12.804017 78.942314 0.018147 -0.127015 -0.010294 0.991681
1317388351.600396156 167.216267 12.838750 79.615002 0.018147 -0.127015 -0.010294 0.991681
1317388351.704017162 168.154539 12.827365 79.960715 0.018147 -0.127015 -0.010294 0.991681
1317388352.015157700 170.031133 12.993821 80.631463 0.018951 -0.106690 -0.007991 0.994080
1317388352.118891716 170.980670 13.033451 80.942843 0.018951 -0.106690 -0.007991 0.994080
1317388352.223245621 171.939803 13.085947 81.221029 0.018951 -0.106690 -0.007991 0.994080
1317388352.326390505 172.891505 13.159230 81.519269 0.017277 -0.103193 -0.008917 0.994471
1317388352.533820391 174.756929 13.491631 82.127830 0.017277 -0.103193 -0.008917 0.994471
1317388352.741395473 176.618735 13.710464 82.807205 0.014954 -0.095804 -0.009613 0.995241
1317388352.948987722 178.538117 13.990324 83.291286 0.012951 -0.083542 -0.008122 0.996387
1317388353.156531334 180.481616 14.120531 83.742362 0.013231 -0.078750 -0.007105 0.996781
1317388353.364294767 182.434653 14.215764 84.156607 0.013231 -0.078750 -0.007105 0.996781
1317388353.572162628 184.383777 14.340609 84.585725 0.013545 -0.063835 -0.008691 0.997831
1317388353.780023575 186.346153 14.426051 84.958593 0.011409 -0.044486 -0.010928 0.998885
1317388353.988018751 188.314046 14.565291 85.286113 0.009722 -0.023010 -0.011271 0.999624
1317388354.091916800 189.302895 14.575566 85.434842 0.009722 -0.023010 -0.011271 0.999624
1317388354.299831390 191.286451 14.646101 85.668357 0.005919 -0.001057 -0.012065 0.999909
1317388354.507642746 192.372778 15.668646 85.663311 0.005173 0.020840 -0.012903 0.999686
1317388354.715392351 194.368406 15.789278 85.690948 0.005043 0.030970 -0.012463 0.999430
1317388354.923014402 196.364798 15.901297 85.703364 0.005043 0.030970 -0.012463 0.999430
1317388355.130643845 198.361072 15.998772 85.695713 0.003966 0.050722 -0.013026 0.998620
1317388355.338269234 200.352404 16.151143 85.647598 0.003931 0.070588 -0.014109 0.997398
1317388355.545766830 202.347415 16.175843 85.550920 0.004975 0.079979 -0.014622 0.996677
1317388355.753266096 204.309164 15.997395 85.541844 0.004975 0.079979 -0.014622 0.996677
1317388355.960647345 206.291540 16.184954 85.445898 0.008782 0.098324 -0.014940 0.995004
1317388356.168037891 208.277355 16.334328 85.266597 0.013221 0.115743 -0.016136 0.993060
1317388356.375387430 209.652550 17.272327 85.267631 0.013858 0.124440 -0.016342 0.991996
1317388356.582893848 210.995439 18.291004 85.202770 0.013858 0.124440 -0.016342 0.991996
1317388356.997895241 211.026408 18.202632 85.168279 0.021538 0.176684 -0.016976 0.983885
1317388357.413036585 212.893857 18.762925 84.730279 0.027580 0.211679 -0.015996 0.976819
1317388357.620764256 214.729935 18.905317 83.952107 0.031569 0.232136 -0.016630 0.972029
1317388357.828542471 216.567388 19.059006 83.179611 0.033365 0.270493 -0.019158 0.961953
1317388358.036336899 218.347242 19.190980 82.278615 0.034547 0.283515 -0.019132 0.958154
1317388358.243903875 220.104308 19.335147 81.338885 0.034547 0.283515 -0.019132 0.958154
1317388358.451425076 221.838578 19.314803 80.346153 0.039260 0.308511 -0.017328 0.950252
1317388358.659035683 223.544582 19.472840 79.315467 0.043702 0.342933 -0.014698 0.938228
1317388358.866450548 225.195162 19.519592 78.187899 0.044990 0.352881 -0.013423 0.934489
1317388359.073902607 226.795705 19.667179 76.998380 0.044990 0.352881 -0.013423 0.934489
1317388359.281383276 228.376478 19.886342 75.797048 0.048570 0.371225 -0.011627 0.927199
1317388359.488711357 229.946878 19.993465 74.563995 0.048217 0.399492 -0.009949 0.915414
1317388359.696035862 231.437539 20.147873 73.240262 0.046911 0.409401 -0.010151 0.911091
1317388360.110810757 232.878543 20.386153 71.877737 0.047138 0.428732 -0.010369 0.902141
1317388360.421898603 234.235475 20.589538 70.423988 0.041916 0.470673 -0.006659 0.881286
