# SLAM estimated trajectory — TUM format
# timestamp tx ty tz qx qy qz qw
1317388330.525111437 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1317388330.635104179 -0.271050 0.148114 0.017929 0.012666 -0.018944 -0.236879 0.971272
1317388330.735107183 -0.520055 0.286417 0.031448 0.014423 -0.018717 -0.242762 0.969798
1317388330.835091114 -0.772478 0.429422 0.041870 0.015459 -0.018799 -0.245939 0.968980
1317388330.945123672 -1.056431 0.590984 0.052048 0.016669 -0.019741 -0.246951 0.968683
1317388331.045082808 -1.320873 0.740229 0.061874 0.017207 -0.020878 -0.245982 0.968897
1317388331.145067930 -1.590687 0.892817 0.071945 0.018163 -0.021742 -0.242935 0.969629
1317388331.255227804 -1.902243 1.062844 0.088699 0.018918 -0.023085 -0.237340 0.970968
1317388331.355125666 -2.199650 1.220005 0.105239 0.018418 -0.023092 -0.228982 0.972982
1317388331.455315590 -2.506461 1.372646 0.119216 0.016205 -0.022497 -0.220050 0.975095
1317388331.565050125 -2.857313 1.542153 0.135467 0.014171 -0.022708 -0.210873 0.977147
1317388331.665080070 -3.188675 1.695868 0.151381 0.013633 -0.022975 -0.200478 0.979334
1317388331.765079737 -3.532111 1.843397 0.169203 0.014271 -0.022895 -0.190559 0.981305
1317388331.875286102 -3.926129 1.990779 0.190306 0.014997 -0.022662 -0.180983 0.983111
1317388331.975100279 -4.299154 2.121498 0.210478 0.014405 -0.022335 -0.171491 0.984827
1317388332.085074186 -4.725640 2.263113 0.231626 0.013750 -0.021719 -0.163940 0.986135
1317388332.185103655 -5.126808 2.394096 0.251294 0.013160 -0.021768 -0.156693 0.987320
1317388332.285067797 -5.541501 2.526045 0.269635 0.013532 -0.022163 -0.150782 0.988226
1317388332.395169973 -6.014927 2.670573 0.288861 0.014912 -0.023498 -0.145848 0.988915
1317388332.495033026 -6.459240 2.798494 0.308453 0.014344 -0.024559 -0.141649 0.989508
1317388332.605044127 -6.963020 2.944476 0.330913 0.013556 -0.025252 -0.138102 0.990003
1317388332.705027103 -7.434251 3.079396 0.355754 0.013380 -0.026652 -0.133793 0.990561
1317388332.805044413 -7.918919 3.216870 0.383081 0.014844 -0.027621 -0.129919 0.991029
1317388332.915144444 -8.465585 3.363341 0.412820 0.017768 -0.028842 -0.126049 0.991445
1317388333.015044689 -8.978234 3.493004 0.437523 0.017903 -0.029500 -0.121348 0.992010
1317388333.125013590 -9.552535 3.636217 0.474067 0.014989 -0.031497 -0.117208 0.992495
1317388333.225063801 -10.080983 3.769769 0.517172 0.012667 -0.033099 -0.112540 0.993015
1317388333.325009584 -10.621216 3.903259 0.558034 0.013325 -0.033913 -0.108391 0.993440
1317388333.435090780 -11.228188 4.043867 0.599964 0.014465 -0.035184 -0.104076 0.993842
1317388333.535037756 -11.797358 4.167259 0.639911 0.013622 -0.036440 -0.099760 0.994251
1317388333.645048380 -12.436493 4.302451 0.683641 0.012330 -0.037910 -0.095850 0.994597
1317388333.745111704 -13.032512 4.420722 0.720566 0.011676 -0.040567 -0.091605 0.994900
1317388333.845020533 -13.642901 4.538063 0.754851 0.010954 -0.044053 -0.088683 0.995025
1317388333.955103159 -14.331870 4.665384 0.802793 0.009576 -0.047887 -0.086603 0.995045
1317388334.055094242 -14.968335 4.780740 0.850033 0.007725 -0.052246 -0.084421 0.995030
1317388334.165059328 -15.683661 4.905931 0.916620 0.005561 -0.056437 -0.082373 0.994987
1317388334.265007734 -16.343834 5.011436 0.985222 0.003701 -0.060047 -0.080073 0.994972
1317388334.365204811 -17.016565 5.112343 1.063086 0.001196 -0.062848 -0.077625 0.994999
1317388334.475042105 -17.768990 5.219535 1.154865 -0.000645 -0.065704 -0.075143 0.995006
1317388334.575023890 -18.466623 5.316559 1.243578 -0.003211 -0.068301 -0.072439 0.995026
1317388334.685003042 -19.245062 5.421442 1.348937 -0.005410 -0.069803 -0.069972 0.995089
1317388334.785017729 -19.963162 5.519181 1.451993 -0.006702 -0.070359 -0.067196 0.995233
1317388334.885189295 -20.690700 5.613813 1.556315 -0.006846 -0.070057 -0.064072 0.995460
1317388334.995014191 -21.501918 5.713160 1.671333 -0.006973 -0.069332 -0.060873 0.995710
1317388335.125018120 -22.482223 5.823358 1.814213 -0.006786 -0.068356 -0.057043 0.996006
1317388335.205041409 -23.095304 5.879305 1.908601 -0.006824 -0.066367 -0.051514 0.996441
1317388335.305045843 -23.868219 5.946827 2.021483 -0.006858 -0.064223 -0.048075 0.996753
1317388335.405014515 -24.651041 6.004625 2.133678 -0.007798 -0.061551 -0.043694 0.997117
1317388335.515010834 -25.520524 6.066728 2.247642 -0.009212 -0.059613 -0.039238 0.997408
1317388335.614972591 -26.322090 6.115861 2.349400 -0.009805 -0.058746 -0.034151 0.997640
1317388335.724993467 -27.213952 6.164210 2.459198 -0.009816 -0.058476 -0.029346 0.997809
1317388335.824971199 -28.035969 6.198976 2.561688 -0.009935 -0.058028 -0.024342 0.997969
1317388335.925252438 -28.867637 6.230431 2.663979 -0.010495 -0.057193 -0.019839 0.998111
1317388336.034986973 -29.795160 6.257221 2.776722 -0.009683 -0.056269 -0.015578 0.998247
1317388336.135014772 -30.649963 6.273990 2.877197 -0.009228 -0.054283 -0.010855 0.998424
1317388336.244980335 -31.602031 6.285536 2.986781 -0.009333 -0.051632 -0.006845 0.998599
1317388336.344988823 -32.479408 6.290321 3.081305 -0.008545 -0.049445 -0.002362 0.998738
1317388336.445021629 -33.368134 6.287745 3.170656 -0.007906 -0.048557 0.001631 0.998788
1317388336.555118084 -34.359990 6.276408 3.269588 -0.007276 -0.048222 0.005032 0.998797
1317388336.655135632 -35.274063 6.261812 3.360755 -0.007323 -0.047336 0.008601 0.998815
